QuestionType;Question;QuestionID;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A;Answer_Participant_id1_condition_A
radio;UIST is an amazing conference;q1;4;;;3;4;;;;;4;;;;;;;4;3;
radio;VR is a beautiful research tool;q2;4;;;5;4;;;;;3;;;;;;;4;4;
radio;Happiness is the key to success;q3;4;5;;5;5;;;;;5;;;;;;;4;5;
radio;Debugging is awesome;q4;5;5;6;6;6;;;;;5;;;;;5;5;5;4;6
radio;I like fixing bugs;q5;5;5;6;5;5;;;;;6;;;;;4;6;6;5;6
radio;I would use the VRQuestionnaireToolkit;q6;5;5;6;5;6;;;;;5;;;;;6;5;5;4;6
radioGrid;Hololens_The system was easy to use;q7;4;4;5;4;3;;;;;4;;;;;3;3;3;3;4
radioGrid;Oculus Rift_The system was easy to use;q7;4;4;5;4;4;;;;;4;;;;;4;3;4;3;4
radioGrid;Vive_The system was easy to use;q7;4;4;5;4;5;;;;;4;;;;;5;3;5;3;4
radioGrid;Magic Leap_The system was easy to use;q7;4;4;5;5;4;;;;;4;;;;;5;3;5;3;4
radioGrid;Hololens_The system was easy to use;q8;5;6;6;;4;;;;;6;;;;;4;5;7;4;5
radioGrid;Oculus Rift_The system was easy to use;q8;5;6;6;;5;;;;;6;;;;;5;5;7;4;5
radioGrid;Vive_The system was easy to use;q8;5;6;6;;6;;;;6;6;;;;;6;6;7;4;5
radioGrid;Magic Leap_The system was easy to use;q8;5;6;6;;5;;;;5;5;;;;;6;5;7;4;5
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive;q9;;;;;;;;;;;;;;;;;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ;q9;;;;;;;;;;;;;;;1;1;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ;q9;;;;;1;;;;;1;;;;;;;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ;q9;;;;;;;;;;1;;;;;;;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough;q9;1;1;;;;;;;;;;;;;1;;;;
checkbox; If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming;q9;;;1;;1;;;;;;;;;;;;1;;
linearSlider;Temporal Demand:			How hurried or rushed was the pace of the task?;s1;3;2;3;3;1;0;0;0;0;2;0;0;0;0;3;2;2;2;0
linearSlider;Physical Demand:				How physically demanding was the task?;s2;10;6;9;5;8;6;6;6;6;3;6;6;6;6;10;2;9;6;6
linearSlider;Mental Demand:				How mentally demanding was the task?;s3;4;16;17;17;4;10;10;10;10;19;16;10;10;10;6;18;16;0;10
linearGrid;Mental Demand:				How mentally demanding was the task?;s4;18;17;16;17;18;;;;;17;;;;;17;17;19;18;3
linearGrid;Physical Demand:				How physically demanding was the task?;s5;14;8;15;13;9;;;;;16;;;;;9;9;16;16;17
linearGrid;Temporal Demand:		    How hurried or rushed was the pace of the task?;s6;15;17;19;18;18;;;;;15;;;;;;13;18;11;18
dropdown;Demanding;d1;0;0;0;1;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0
dropdown;Mental;d2;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
dropdown;Physical;d3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0

